"cycif.slide","cycif.core.id","N.cancer.cells","Total.cells"
"TMA_18_810","core1",4788,6659
"TMA_18_810","core10",2464,10290
"TMA_18_810","core102",2935,7195
"TMA_18_810","core103",1257,7483
"TMA_18_810","core105",911,2272
"TMA_18_810","core106",3025,5834
"TMA_18_810","core107",2495,5668
"TMA_18_810","core108",2888,5360
"TMA_18_810","core109",947,4832
"TMA_18_810","core11",228,2564
"TMA_18_810","core110",2426,3631
"TMA_18_810","core111",4102,5535
"TMA_18_810","core112",2615,6396
"TMA_18_810","core113",1023,10853
"TMA_18_810","core114",3841,8658
"TMA_18_810","core115",132,9252
"TMA_18_810","core116",24,11087
"TMA_18_810","core118",1106,3340
"TMA_18_810","core119",2930,7197
"TMA_18_810","core12",1277,6383
"TMA_18_810","core120",4001,7972
"TMA_18_810","core121",3661,6491
"TMA_18_810","core122",2067,4063
"TMA_18_810","core123",1683,5733
"TMA_18_810","core124",2338,6025
"TMA_18_810","core125",302,1695
"TMA_18_810","core126",2987,4733
"TMA_18_810","core127",160,1668
"TMA_18_810","core128",2689,6877
"TMA_18_810","core129",1877,5127
"TMA_18_810","core13",97,8062
"TMA_18_810","core130",2676,6580
"TMA_18_810","core131",63,1579
"TMA_18_810","core132",27,4842
"TMA_18_810","core133",170,6131
"TMA_18_810","core134",16,573
"TMA_18_810","core135",1792,6292
"TMA_18_810","core137",4010,7829
"TMA_18_810","core138",789,3622
"TMA_18_810","core14",682,7859
"TMA_18_810","core140",2895,7201
"TMA_18_810","core141",3071,7646
"TMA_18_810","core142",14,4106
"TMA_18_810","core144",1732,6712
"TMA_18_810","core145",29,3869
"TMA_18_810","core146",21,4559
"TMA_18_810","core147",2471,7715
"TMA_18_810","core148",1431,9068
"TMA_18_810","core149",450,5472
"TMA_18_810","core15",6359,6922
"TMA_18_810","core150",238,5148
"TMA_18_810","core16",4695,6561
"TMA_18_810","core17",5573,7135
"TMA_18_810","core18",4452,6359
"TMA_18_810","core19",239,3662
"TMA_18_810","core2",1827,5429
"TMA_18_810","core20",35,2910
"TMA_18_810","core21",8,2710
"TMA_18_810","core22",289,2903
"TMA_18_810","core24",722,3923
"TMA_18_810","core25",735,4608
"TMA_18_810","core26",2022,4712
"TMA_18_810","core27",1135,6583
"TMA_18_810","core28",2830,6656
"TMA_18_810","core29",2069,5482
"TMA_18_810","core3",2690,4900
"TMA_18_810","core30",10,5290
"TMA_18_810","core31",2113,5040
"TMA_18_810","core32",5083,5635
"TMA_18_810","core33",3084,6488
"TMA_18_810","core34",4685,5667
"TMA_18_810","core35",2806,4002
"TMA_18_810","core36",4098,6022
"TMA_18_810","core37",924,2286
"TMA_18_810","core38",3792,5003
"TMA_18_810","core39",861,3911
"TMA_18_810","core4",2403,5289
"TMA_18_810","core40",1007,3896
"TMA_18_810","core41",709,3845
"TMA_18_810","core42",1467,3896
"TMA_18_810","core43",3850,7084
"TMA_18_810","core44",783,6171
"TMA_18_810","core45",789,4428
"TMA_18_810","core46",709,2535
"TMA_18_810","core47",1302,6460
"TMA_18_810","core48",2045,6131
"TMA_18_810","core49",1207,6769
"TMA_18_810","core5",6421,7854
"TMA_18_810","core50",1013,6293
"TMA_18_810","core51",459,5686
"TMA_18_810","core52",2934,6828
"TMA_18_810","core53",1920,5025
"TMA_18_810","core54",1499,5858
"TMA_18_810","core55",2941,3700
"TMA_18_810","core56",3905,4907
"TMA_18_810","core57",4145,5230
"TMA_18_810","core58",3490,3984
"TMA_18_810","core6",3561,4232
"TMA_18_810","core63",2617,6506
"TMA_18_810","core64",1534,5617
"TMA_18_810","core65",2732,6439
"TMA_18_810","core67",1346,4161
"TMA_18_810","core68",934,3545
"TMA_18_810","core69",2014,5881
"TMA_18_810","core7",6696,7493
"TMA_18_810","core70",1599,4438
"TMA_18_810","core71",374,4147
"TMA_18_810","core72",713,4332
"TMA_18_810","core73",419,3780
"TMA_18_810","core74",75,4655
"TMA_18_810","core75",45,4780
"TMA_18_810","core77",2407,6626
"TMA_18_810","core78",3885,8050
"TMA_18_810","core79",3739,5666
"TMA_18_810","core80",1476,6232
"TMA_18_810","core81",832,4272
"TMA_18_810","core82",1005,2900
"TMA_18_810","core83",2621,5273
"TMA_18_810","core84",13,3171
"TMA_18_810","core85",701,2624
"TMA_18_810","core87",3923,5200
"TMA_18_810","core88",1932,4471
"TMA_18_810","core89",4410,4736
"TMA_18_810","core9",3105,9545
"TMA_18_810","core90",5089,6167
"TMA_18_810","core91",4855,6694
"TMA_18_810","core92",3946,4861
"TMA_18_810","core93",7167,7905
"TMA_18_810","core94",927,3324
"TMA_18_810","core95",1387,4749
"TMA_18_810","core96",1848,3925
"TMA_18_810","core97",1057,5084
"TMA_31_1020","core10",2852,6457
"TMA_31_1020","core100",3507,6518
"TMA_31_1020","core101",2610,7355
"TMA_31_1020","core102",2596,4696
"TMA_31_1020","core103",2068,2821
"TMA_31_1020","core104",33,2358
"TMA_31_1020","core105",623,8472
"TMA_31_1020","core106",440,3089
"TMA_31_1020","core108",11,10854
"TMA_31_1020","core109",1428,3803
"TMA_31_1020","core110",20,2511
"TMA_31_1020","core111",740,2585
"TMA_31_1020","core112",1221,7459
"TMA_31_1020","core113",1297,8079
"TMA_31_1020","core115",2756,5718
"TMA_31_1020","core116",1410,2421
"TMA_31_1020","core117",1081,6220
"TMA_31_1020","core118",464,8736
"TMA_31_1020","core119",1776,10302
"TMA_31_1020","core12",2574,4414
"TMA_31_1020","core121",863,9276
"TMA_31_1020","core122",923,6914
"TMA_31_1020","core123",303,5622
"TMA_31_1020","core125",4642,8651
"TMA_31_1020","core126",6006,8448
"TMA_31_1020","core127",4015,7929
"TMA_31_1020","core128",397,4476
"TMA_31_1020","core129",802,3519
"TMA_31_1020","core130",202,5946
"TMA_31_1020","core132",38,7742
"TMA_31_1020","core134",339,4260
"TMA_31_1020","core135",182,3434
"TMA_31_1020","core136",1529,5774
"TMA_31_1020","core137",281,2773
"TMA_31_1020","core138",1997,4687
"TMA_31_1020","core139",606,10817
"TMA_31_1020","core140",608,10149
"TMA_31_1020","core15",2017,5776
"TMA_31_1020","core16",1431,2437
"TMA_31_1020","core17",1644,3892
"TMA_31_1020","core18",1160,3397
"TMA_31_1020","core19",1408,5016
"TMA_31_1020","core21",1886,4075
"TMA_31_1020","core22",689,7939
"TMA_31_1020","core23",139,4218
"TMA_31_1020","core24",294,8539
"TMA_31_1020","core25",1165,3495
"TMA_31_1020","core26",18,9081
"TMA_31_1020","core27",3988,5257
"TMA_31_1020","core28",4112,6234
"TMA_31_1020","core29",3851,4500
"TMA_31_1020","core30",517,6320
"TMA_31_1020","core31",4314,6205
"TMA_31_1020","core32",1092,4841
"TMA_31_1020","core33",386,2641
"TMA_31_1020","core34",4043,6812
"TMA_31_1020","core35",3227,6724
"TMA_31_1020","core36",3633,5253
"TMA_31_1020","core37",3539,4744
"TMA_31_1020","core38",9,3248
"TMA_31_1020","core39",13,2618
"TMA_31_1020","core40",20,3736
"TMA_31_1020","core41",3709,5385
"TMA_31_1020","core42",2762,5278
"TMA_31_1020","core43",2309,3473
"TMA_31_1020","core44",1386,5757
"TMA_31_1020","core46",2628,5876
"TMA_31_1020","core47",2671,6812
"TMA_31_1020","core48",1988,7311
"TMA_31_1020","core49",1187,6642
"TMA_31_1020","core50",60,4915
"TMA_31_1020","core51",389,6134
"TMA_31_1020","core52",482,7661
"TMA_31_1020","core53",1023,7238
"TMA_31_1020","core54",751,6335
"TMA_31_1020","core55",16,7569
"TMA_31_1020","core56",1227,6364
"TMA_31_1020","core57",4,6666
"TMA_31_1020","core58",2055,4971
"TMA_31_1020","core59",10,6048
"TMA_31_1020","core6",2,2221
"TMA_31_1020","core60",3824,6028
"TMA_31_1020","core61",1087,3806
"TMA_31_1020","core62",7325,9582
"TMA_31_1020","core63",5464,7395
"TMA_31_1020","core64",4749,6999
"TMA_31_1020","core65",6021,7871
"TMA_31_1020","core66",1838,4923
"TMA_31_1020","core67",2474,5969
"TMA_31_1020","core68",2371,5002
"TMA_31_1020","core69",1287,4199
"TMA_31_1020","core7",1933,4081
"TMA_31_1020","core70",186,2327
"TMA_31_1020","core71",1298,6640
"TMA_31_1020","core72",7,1748
"TMA_31_1020","core74",860,2080
"TMA_31_1020","core75",766,1934
"TMA_31_1020","core76",1327,2453
"TMA_31_1020","core77",2674,7723
"TMA_31_1020","core78",436,7446
"TMA_31_1020","core79",1697,5628
"TMA_31_1020","core8",2184,4677
"TMA_31_1020","core80",5,3757
"TMA_31_1020","core81",677,6418
"TMA_31_1020","core82",1521,4744
"TMA_31_1020","core83",1594,5528
"TMA_31_1020","core84",286,4761
"TMA_31_1020","core85",1452,6564
"TMA_31_1020","core86",378,3273
"TMA_31_1020","core87",2205,5795
"TMA_31_1020","core88",124,1160
"TMA_31_1020","core89",316,2596
"TMA_31_1020","core9",3051,5217
"TMA_31_1020","core90",690,2002
"TMA_31_1020","core91",549,2934
"TMA_31_1020","core92",3489,6509
"TMA_31_1020","core93",1299,2678
"TMA_31_1020","core94",769,2437
"TMA_31_1020","core95",3862,5387
"TMA_31_1020","core96",2319,6310
"TMA_31_1020","core97",2672,4517
"TMA_31_1020","core98",1684,5596
"TMA_31_1020","core99",814,2671
"TMA_33_576","core1",542,4129
"TMA_33_576","core10",3525,4693
"TMA_33_576","core100",6914,7826
"TMA_33_576","core101",2227,5330
"TMA_33_576","core102",1243,3784
"TMA_33_576","core103",11,2712
"TMA_33_576","core104",995,2152
"TMA_33_576","core105",2070,4974
"TMA_33_576","core106",2454,3661
"TMA_33_576","core11",781,4465
"TMA_33_576","core13",397,6477
"TMA_33_576","core14",2275,4239
"TMA_33_576","core15",2605,3886
"TMA_33_576","core16",1720,4177
"TMA_33_576","core18",1235,2526
"TMA_33_576","core19",2,8278
"TMA_33_576","core2",4,2125
"TMA_33_576","core20",871,5547
"TMA_33_576","core21",317,3662
"TMA_33_576","core23",547,4204
"TMA_33_576","core24",2428,3556
"TMA_33_576","core25",1,2467
"TMA_33_576","core27",2739,4069
"TMA_33_576","core28",39,2978
"TMA_33_576","core29",1,1689
"TMA_33_576","core3",662,3965
"TMA_33_576","core30",54,1618
"TMA_33_576","core31",1056,6673
"TMA_33_576","core32",577,4259
"TMA_33_576","core33",2809,4241
"TMA_33_576","core34",3,2009
"TMA_33_576","core36",1598,4004
"TMA_33_576","core37",1441,3768
"TMA_33_576","core38",2316,3822
"TMA_33_576","core39",399,4498
"TMA_33_576","core4",2019,4999
"TMA_33_576","core40",1163,4540
"TMA_33_576","core41",3854,5033
"TMA_33_576","core42",555,4960
"TMA_33_576","core43",1538,5814
"TMA_33_576","core44",3285,5079
"TMA_33_576","core45",225,2813
"TMA_33_576","core46",844,4291
"TMA_33_576","core47",2347,4727
"TMA_33_576","core48",3962,7549
"TMA_33_576","core49",195,2614
"TMA_33_576","core5",715,5376
"TMA_33_576","core50",2865,5160
"TMA_33_576","core51",329,5378
"TMA_33_576","core52",244,3002
"TMA_33_576","core53",5581,5939
"TMA_33_576","core55",975,4591
"TMA_33_576","core56",58,1175
"TMA_33_576","core57",3885,7171
"TMA_33_576","core58",550,5445
"TMA_33_576","core6",972,2060
"TMA_33_576","core60",2337,7957
"TMA_33_576","core61",753,1874
"TMA_33_576","core62",4949,5334
"TMA_33_576","core63",696,2850
"TMA_33_576","core65",1661,4598
"TMA_33_576","core66",954,4084
"TMA_33_576","core68",3488,4830
"TMA_33_576","core69",2358,4327
"TMA_33_576","core7",2792,4040
"TMA_33_576","core70",3658,4442
"TMA_33_576","core71",564,2560
"TMA_33_576","core72",1229,6087
"TMA_33_576","core73",498,3665
"TMA_33_576","core74",3636,5715
"TMA_33_576","core75",831,5660
"TMA_33_576","core76",146,2605
"TMA_33_576","core77",2934,6342
"TMA_33_576","core79",3016,3941
"TMA_33_576","core81",1035,4087
"TMA_33_576","core82",2121,6400
"TMA_33_576","core84",1473,5976
"TMA_33_576","core85",386,3848
"TMA_33_576","core86",1237,1912
"TMA_33_576","core87",1503,3112
"TMA_33_576","core88",1747,3901
"TMA_33_576","core89",416,3190
"TMA_33_576","core9",524,4347
"TMA_33_576","core90",14,5606
"TMA_33_576","core91",5134,6074
"TMA_33_576","core92",4023,4264
"TMA_33_576","core93",29,3995
"TMA_33_576","core94",349,1474
"TMA_33_576","core95",424,3027
"TMA_33_576","core96",2392,4544
"TMA_33_576","core97",1277,5661
"TMA_33_576","core98",5,9507
"TMA_33_576","core99",40,7115
"TMA_34_504","core10",2,3384
"TMA_34_504","core11",983,8002
"TMA_34_504","core12",1140,3524
"TMA_34_504","core13",720,2752
"TMA_34_504","core15",79,3068
"TMA_34_504","core16",2,3134
"TMA_34_504","core17",363,9251
"TMA_34_504","core18",59,6135
"TMA_34_504","core19",132,2347
"TMA_34_504","core2",1176,4297
"TMA_34_504","core20",1633,2634
"TMA_34_504","core21",48,2341
"TMA_34_504","core22",709,5693
"TMA_34_504","core23",32,1789
"TMA_34_504","core24",8,6125
"TMA_34_504","core25",2,3309
"TMA_34_504","core26",5451,5791
"TMA_34_504","core27",4,1012
"TMA_34_504","core28",26,2183
"TMA_34_504","core29",882,4111
"TMA_34_504","core3",177,5497
"TMA_34_504","core30",3194,5794
"TMA_34_504","core31",4886,5592
"TMA_34_504","core32",72,1941
"TMA_34_504","core33",47,4842
"TMA_34_504","core35",2402,5353
"TMA_34_504","core36",2980,4636
"TMA_34_504","core37",1080,7590
"TMA_34_504","core39",722,2271
"TMA_34_504","core4",273,4473
"TMA_34_504","core40",1495,2768
"TMA_34_504","core41",4314,6804
"TMA_34_504","core42",2470,3423
"TMA_34_504","core43",286,7379
"TMA_34_504","core44",6,3276
"TMA_34_504","core45",1248,4581
"TMA_34_504","core46",10,3421
"TMA_34_504","core47",3981,6505
"TMA_34_504","core48",7,6143
"TMA_34_504","core49",24,2331
"TMA_34_504","core5",488,7252
"TMA_34_504","core50",3580,4310
"TMA_34_504","core51",6,4009
"TMA_34_504","core52",6221,8425
"TMA_34_504","core53",3038,4037
"TMA_34_504","core55",1369,5468
"TMA_34_504","core56",26,2556
"TMA_34_504","core57",11,2268
"TMA_34_504","core58",4543,4822
"TMA_34_504","core59",5062,6949
"TMA_34_504","core6",342,5612
"TMA_34_504","core60",5,3423
"TMA_34_504","core61",798,3044
"TMA_34_504","core62",1260,4697
"TMA_34_504","core63",186,2207
"TMA_34_504","core64",21,2063
"TMA_34_504","core65",4647,6137
"TMA_34_504","core66",5182,7517
"TMA_34_504","core67",1354,4102
"TMA_34_504","core68",2603,3553
"TMA_34_504","core70",512,4107
"TMA_34_504","core71",39,2227
"TMA_34_504","core72",3342,6026
"TMA_34_504","core73",897,4266
"TMA_34_504","core74",5630,6263
"TMA_34_504","core8",1718,4342
"TMA_34_504","core9",18,3521
"TMA_41_812","core1",1020,2962
"TMA_41_812","core10",3443,6586
"TMA_41_812","core100",365,2834
"TMA_41_812","core101",2289,5174
"TMA_41_812","core102",5062,7534
"TMA_41_812","core103",3330,4318
"TMA_41_812","core104",1372,4064
"TMA_41_812","core105",8,2022
"TMA_41_812","core106",1433,4406
"TMA_41_812","core107",3780,6767
"TMA_41_812","core108",679,3308
"TMA_41_812","core109",1054,3728
"TMA_41_812","core11",793,3702
"TMA_41_812","core110",126,2679
"TMA_41_812","core111",3930,7195
"TMA_41_812","core112",66,2479
"TMA_41_812","core114",2101,3702
"TMA_41_812","core117",360,4068
"TMA_41_812","core118",2641,4019
"TMA_41_812","core119",16,4719
"TMA_41_812","core12",31,2382
"TMA_41_812","core13",810,3006
"TMA_41_812","core14",1451,6518
"TMA_41_812","core15",905,3582
"TMA_41_812","core16",248,3931
"TMA_41_812","core17",127,2320
"TMA_41_812","core18",90,2123
"TMA_41_812","core19",1390,3589
"TMA_41_812","core2",939,3142
"TMA_41_812","core20",218,4982
"TMA_41_812","core21",876,5082
"TMA_41_812","core22",178,3196
"TMA_41_812","core23",3847,7254
"TMA_41_812","core24",16,2712
"TMA_41_812","core25",348,4826
"TMA_41_812","core26",410,3237
"TMA_41_812","core27",412,1812
"TMA_41_812","core28",339,3384
"TMA_41_812","core29",1808,5148
"TMA_41_812","core3",1481,6834
"TMA_41_812","core31",1600,3581
"TMA_41_812","core32",537,5314
"TMA_41_812","core33",849,2799
"TMA_41_812","core34",1703,4502
"TMA_41_812","core35",589,3693
